school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
78,https://jobs.csuchico.edu/ch/en-us/job/561882/20262027-12-month-counselor-pool-wellcat-counseling-center,2026-2027 12 Month Counselor Pool WellCat Counseling Center,Lecturer,Part-time,Division of Student Affairs,,,
78,https://jobs.csuchico.edu/ch/en-us/job/561747/assistant-professor-position-school-of-social-work,Assistant Professor Position School of Social Work,Assistant_Professor,Full-time,School of Social Work,Social Work; teaching both undergraduates,"September 03, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/560599/assistant-professor-of-finance,Assistant Professor of Finance,Assistant_Professor,Full-time,"Department of Information Systems, Finance, and Accounting",Finance,"August 04, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/560387/assistant-professor-in-psychology-marriage-family-therapy,Assistant Professor in Psychology,Assistant_Professor,Full-time,College of Behavioral and Social Sciences,Psychology; Family Therapy graduate program beginning,,
78,https://jobs.csuchico.edu/ch/en-us/job/559199/assistant-professor-in-psychology-school-psychology,Assistant Professor in Psychology / School Psychology,Assistant_Professor,Full-time,College of Behavioral and Social Sciences,Psychology / School Psychology; NASP accredited School Psychology graduate,,
78,https://jobs.csuchico.edu/ch/en-us/job/555120/202627-lecturer-pool-department-of-philosophy,2026-27 Lecturer Pool Department of Philosophy,Lecturer,Part-time,Department of Philosophy,Philosophy; person,"April 02, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/555871/202627-lecturer-pool-department-of-psychology,2026-27 Lecturer Pool Department of Psychology,Lecturer,Part-time,Department of Psychology,Psychology,"April 01, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/555932/202627-lecturer-pool-department-of-nutrition-and-food-science,2026-27 Lecturer Pool Department of Nutrition and Food Science,Lecturer,Part-time,Department of Nutrition and Food Science,Nutrition and Food Science; foods,,
78,https://jobs.csuchico.edu/ch/en-us/job/555969/202627-lecturer-pool-department-of-anthropology,2026-27 Lecturer Pool Department of Anthropology,Lecturer,Part-time,Department of Anthropology,Anthropology; uphold campus academic policies,"March 27, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/556421/202627-lecturer-pool-department-of-management,2026-27 Lecturer Pool Department of Management,Lecturer,Part-time,Department of Management,Management,"March 23, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/556120/202627-lecturer-pool-college-of-ecc-tech-courses,2026-27 Lecturer Pool College of ECC TECH Courses,Lecturer,Part-time,College of ECC TECH Courses,ECC TECH Courses,"March 12, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/556053/202627-lecturer-pool-department-of-media-arts-design-and-technology,"2026-27 Lecturer Pool Department of Media Arts, Design, and Technology",Lecturer,Part-time,"Department of Media Arts, Design, and Technology","Media Arts, Design, and Technology",,
78,https://jobs.csuchico.edu/ch/en-us/job/556054/202627-lecturer-pool-department-of-journalism-and-public-relations,2026-27 Lecturer Pool Department of Journalism and Public Relations,Lecturer,Part-time,Department of Journalism and Public Relations,Journalism and Public Relations,,
78,https://jobs.csuchico.edu/ch/en-us/job/556049/202627-lecturer-pool-college-of-agriculture,2026-27 Lecturer Pool College of Agriculture,Lecturer,Part-time,College of Agriculture,Agriculture,"March 11, 2026",
78,https://jobs.csuchico.edu/ch/en-us/job/556051/202627-lecturer-pool-department-of-mechanical-and-mechatronic-engineering-and-advanced-manufacturing,2026-27 Lecturer Pool Department of Mechanical and Mechatronic Engineering and Advanced Manufacturing,Lecturer,Part-time,Department of Mechanical and Mechatronic Engineering and Advanced Manufacturing,Mechanical and Mechatronic Engineering and Advanced Manufacturing; mechanical engineering,,
78,https://jobs.csuchico.edu/ch/en-us/job/555909/202627-lecturer-pool-department-of-information-systems-finance-and-accounting,"2026-27 Lecturer Pool Department of Information Systems, Finance, and Accounting",Lecturer,Part-time,"Department of Information Systems, Finance, and Accounting","Information Systems, Finance, and Accounting",,
78,https://jobs.csuchico.edu/ch/en-us/job/555910/202627-lecturer-pool-computer-animation-and-game-development-program,2026-27 Lecturer Pool Computer Animation and Game Development Program,Lecturer,Part-time,College of Communication and Education,common core areas,,
78,https://jobs.csuchico.edu/ch/en-us/job/555868/202627-coach-pool-all-intercollegiate-sports-intercollegiate-athletics,2026-27 Coach Pool (all intercollegiate sports) Intercollegiate Athletics,Lecturer,Part-time,Department of Athletics at,,,
78,https://jobs.csuchico.edu/ch/en-us/job/555913/202627-lecturer-pool-department-of-earth-and-environmental-sciences,2026-27 Lecturer Pool Department of Earth and Environmental Sciences,Lecturer,Part-time,Department of Earth and Environmental Sciences,Earth and Environmental Sciences; atmospheric science; applied ecology,,
78,https://jobs.csuchico.edu/ch/en-us/job/555869/202627-lecturer-pool-concrete-industry-management-program,2026-27 Lecturer Pool Concrete Industry Management Program,Lecturer,Part-time,,laboratory,,
78,https://apps.csuchico.edu/directory/Department/FAAF,CAMPUS DIRECTORY,Non-academic,Full-time,,,,
