school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1835,https://www.chuhai.edu.hk/en/page/jobs?id=3feba8ec-0307-4709-8c72-bc7c316e63f3,香港珠海學院 | Hong Kong Chu Hai College,Research_Fellow,Full-time,,,,
1835,https://www.chuhai.edu.hk/en/page/jobs?id=cd303cce-dd3e-484d-ba93-a956d2d4c15d,香港珠海學院 | Hong Kong Chu Hai College,Non-academic,Full-time,,,,
