school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1224,https://www.kings.edu/human-resources/careers.html#armed-security-officer,Armed Security Officer,Unclassified,Full-time,,,,
1224,https://www.kings.edu/human-resources/careers.html#assistant-director-of-admission,Assistant Director of Admission,Unclassified,Full-time,,Admission,,
1224,https://www.kings.edu/human-resources/careers.html#assistant-director-of-alumni-relations,Assistant Director of Alumni Relations,Unclassified,Full-time,,Alumni Relations,,
1224,https://www.kings.edu/human-resources/careers.html#associate-dean-of-nursing,Associate Dean of Nursing,Associate_Professor,Part-time,,Nursing; based upon workload capacity inclusive,,
1224,https://www.kings.edu/human-resources/careers.html#athletic-facilities-coordinator-betzler-complex,Athletic Facilities Coordinator – Betzler Complex,Assistant_Professor; Associate_Professor; Full_Professor,Full-time,,,,
1224,https://www.kings.edu/human-resources/careers.html#clinical-nursing-instructor-part-time-adjunct,Clinical Nursing Instructor (Part-Time Adjunct),Unclassified,Part-time,,Nursing; psychiatric mental health,,
1224,https://www.kings.edu/human-resources/careers.html#computer-science-faculty-position,Computer Science Faculty Position,Assistant_Professor; Associate_Professor; Full_Professor,Part-time,Department of Mathematics and Computer Science,Computer Science; Information Systems degree,"January 15, 2026",
1224,https://www.kings.edu/human-resources/careers.html#instruction-reference-librarian,Instruction & Reference Librarian,Non-academic,Part-time,School of Health Sciences,AI-related technologies; fully online,"August 17, 2026",
