school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
771,https://appstate.peopleadmin.com/postings/52589,Appalachian State University Employment Opportunities | Personal Trainer/Group Class Instructor,Unclassified,Full-time,Institute for Health and Wellness,,,
771,https://appstate.peopleadmin.com/postings/55864,Appalachian State University Employment Opportunities | Express To Go Technician,Non-academic,Full-time,,,09/13/2026,
771,https://appstate.peopleadmin.com/postings/55299,Employment Opportunities,Unclassified,Full-time,College of Education,Fellows program,07/31/2026,
771,https://appstate.peopleadmin.com/postings/55986,Employment Opportunities,Unclassified,Full-time,,,09/20/2026,
771,https://appstate.peopleadmin.com/postings/49699,Employment Opportunities,Unclassified,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/55760,Appalachian State University Employment Opportunities | Assistant Professor of Clinical Psychology,Assistant_Professor,Full-time,,Clinical Psychology,09/01/2026,
771,https://appstate.peopleadmin.com/postings/54570,Employment Opportunities,Unclassified,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/53158,Appalachian State University Employment Opportunities | Art History and Art Management Adjunct Instructor Pool,Unclassified,Part-time,,,01/16/2024,
771,https://appstate.peopleadmin.com/postings/55869,Employment Opportunities,Unclassified,Full-time,Institute for Health and Wellness,,08/28/2026,
771,https://appstate.peopleadmin.com/postings/55374,Appalachian State University Employment Opportunities | Catering Coordination Assistant,Non-academic,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/55990,"Appalachian State University Employment Opportunities | Parent to Parent Outreach and Family Services Coordinator, Watauga County",Non-academic,Full-time,Institute for Health and Wellness,,09/18/2026,
771,https://appstate.peopleadmin.com/postings/49701,Appalachian State University Employment Opportunities | PRN Administrative Support Associate,Unclassified,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/55773,Employment Opportunities,Non-academic,Full-time,,,09/06/2026,
771,https://appstate.peopleadmin.com/postings/54610,Appalachian State University Employment Opportunities | Relocation Coordinator,Non-academic,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/53606,Appalachian State University Employment Opportunities | Food Service Technician / Park Place Cafe,Non-academic,Full-time,,,02/01/2027,
771,https://appstate.peopleadmin.com/postings/55894,Employment Opportunities,Unclassified,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/40766,Employment Opportunities,Unclassified,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/55506,Appalachian State University Employment Opportunities | Director of Digital Learning and Educational Innovation,Non-academic,Full-time,College of Education Technology and Educational Innovation Media lab,Digital Learning and Educational Innovation; Teacher Candidates Work; educational innovation Work,08/19/2026,
771,https://appstate.peopleadmin.com/postings/54718,Appalachian State University Employment Opportunities | Tenure-Track Assistant Professor in Public Administration,Assistant_Professor,Full-time,,Public Administration,9/8/26,
771,https://appstate.peopleadmin.com/postings/55997,Employment Opportunities,Non-academic,Full-time,,,09/07/2026,
771,https://appstate.peopleadmin.com/postings/50543,Employment Opportunities,Unclassified,Full-time,,,,
771,https://appstate.peopleadmin.com/postings/55784,Appalachian State University Employment Opportunities | Food Service Technician - PM,Non-academic,Full-time,,,09/13/2026,
771,https://appstate.peopleadmin.com/postings/53766,Appalachian State University Employment Opportunities | Post-Doctoral / Post-Master&#39;s Resident,Research_Fellow,Full-time,,,03/16/2026,
