school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
575,https://www.brandeis.edu/human-resources/careers/index.html,Office of Human Resources,Non-academic,Full-time,,Human Resources,,
575,https://www.brandeis.edu/human-resources/careers/staff-positions.html,Office of Human Resources,Non-academic,Full-time,,Human Resources,,
575,https://www.brandeis.edu/human-resources/careers/executive-positions.html,Office of Human Resources,Non-academic,Full-time,,Human Resources,,
575,https://www.brandeis.edu/human-resources/employee-benefits/life-disability-insurance/disability-faculty.html,Office of Human Resources,Non-academic,Part-time,,Human Resources,,
575,https://www.brandeis.edu/audience/fac-staff.html,Faculty & Staff,Non-academic,Full-time,School of Continuing Studies Find your place,,,
575,https://academicjobsonline.org/ajo/jobs,AcademicJobsOnline.org,Assistant_Professor; Associate_Professor; Lecturer; Research_Fellow,Full-time,,Theoretical High Energy Physics Apply,,
575,https://www.mathjobs.org/jobs/list,"Job Listings[BEGIN][select by types]
				[by country/state/city] »
				[sort alphabetically] 
				[by postdate] 
				[by enddate] 
				[by deadline]
				[by startdate]
[by distance]
[by status] »",Assistant_Professor; Associate_Professor; Full_Professor; Research_Fellow,Full-time,,Mathematics Department; Mathematical Sciences,,
575,https://brandeis.wd5.myworkdayjobs.com/en-US/Jobs,,Unclassified,Full-time,,,,
575,https://www.brandeis.edu/gps/faculty/current-openings/index.html,Teaching,Unclassified,Part-time,,Standards Faculty,,
