school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001XV,Job Description,Non-academic,Full-time,,transfer; startup; senior manager,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001XR,Job Description,Unclassified,Full-time,,nurse; laboratory; nursing,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001XQ,Job Description - Associate Professor / Assistant Professor (in Communication Sciences and Child Language Disorders) (E&L) (26001XQ),Assistant_Professor; Associate_Professor,Full-time,,disorders; child language; professor,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WU,Job Description - Research Assistant II – Unreal Developer (R7073) (A&SS) (26001WU),Non-academic,Full-time,,unreal; developer; description research assistant,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001XC,Job Description - Assistant Academic Service Manager (REG) (26001XC),Non-academic,Part-time,,academic service manager; service manager reg; assistant academic service,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001X6,Job Description,Non-academic,Full-time,,alto; multimedia technology manager; senior multimedia technology,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WL,Job Description - Assistant Manager/ Officer (Mainland) (Mainland and International Affairs) (26001WL),Non-academic,Full-time,,mainland; international affairs; assistant manager officer,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WG,Job Description,Unclassified,Full-time,,international affairs; mainland; officer international,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WQ,Job Description,Unclassified,Part-time,,student services officer; services officer sol; campaign,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WS,Job Description - Assistant Human Resources Officer (HRO) (26001WS),Unclassified,Full-time,,human resources; resources officer hro; assistant human,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WO,Job Description - Assistant Academic Service Officer (REG) (26001WO),Unclassified,Full-time,,academic service officer; service officer reg; assistant academic service,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001WD,Job Description - Research Assistant II (N&HS) (26001WD),Non-academic,Full-time,,description research assistant; gender; health,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001W1,Job Description - Assistant Accounting Officer (Revenue) (FO) (26001W1),Unclassified,Full-time,,revenue; accounting; finance,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001W0,Job Description,Unclassified,Full-time,,officer osi; strategic initiatives; general administrative,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001VZ,Job Description - Assistant Manager (OSI) (26001VZ),Non-academic,Full-time,,assistant manager osi; description assistant manager; strategic initiatives,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001VY,Job Description,Non-academic,Full-time,,strategic initiatives; chinese mainland; manager osi,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001VV,Job Description - Senior Lecturer / Lecturer (Clinical) (N&HS) (26001VV),Lecturer,Full-time,,lecturer; clinical; description senior,,
1836,https://hkmu.taleo.net/careersection/ex_full_time/jobdetail.ftl?job=26001VR,Job Description - Senior Medical Laboratory Technologist (at the rank of Senior Lecturer) (N&HS)  (26001VR),Lecturer,Part-time,,laboratory; technologist; senior medical,,
