school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-graduate-studies-program-0,Part-time Lecturer,Lecturer,Part-time,,graduate studies program; part-time lecturer graduate; lecturer graduate studies,"September 18, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-classics-3,Part-time Lecturer,Lecturer,Part-time,,classics; october; three,"October 5, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-biology-15,Part-time Lecturer,Lecturer,Part-time,,biology; animal health; august social media,"August 14, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-chemistry-and-5,Part-time Lecturer,Lecturer,Part-time,,chemistry; persons; identified https,"August 13, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-chemistry-and-4,Part-time Lecturer,Lecturer,Part-time,,chemistry; persons; one-page,"August 13, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-chemistry-and-2,Part-time Lecturer -Department of Chemistry and Biochemistry,Lecturer,Part-time,Department of Chemistry and Biochemistry,biochemistry; biology; html,"August 28, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-chemistry-and-1,Part-time Lecturer,Lecturer,Part-time,,biochemistry; persons; html preferably in-person,"August 28, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-chemistry-and-3,Part-time Lecturer,Lecturer,Part-time,,chemistry; persons; one-page,"August 13, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-biology-13,Part-time Lecturer,Lecturer,Part-time,,biology; physiology; human,"August 14, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-commerce-34,Part-time Lecturer,Lecturer,Part-time,,commerce; accounting; intermediate,"June 26, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-commerce-33,Part-time Lecturer,Lecturer,Part-time,,accounting; commerce; topics,"June 26, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-music-22,Part-time Lecturer,Lecturer,Part-time,,music; ensemble; chamber orchestra,"June 12, 2026",
1608,https://mta.ca/about-mta/work-at-mta/current-opportunities/part-time-lecturer-department-music-17,Part-time Lecturer,Lecturer,Part-time,,music; studio; performance,"June 12, 2026",
