school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1227,https://psu.wd1.myworkdayjobs.com/job/Penn-State-York/Part-Time---Human-Development-and-Family-Studies---Adjunct-Instructor_REQ_0000071770-1,Part Time - Human Development and Family Studies - Adjunct Instructor,Lecturer,Part-time,,,,2025-09-11
1227,https://psu.wd1.myworkdayjobs.com/job/Penn-State-York/Part-Time---IST-Cybersecurity---Adjunct-Lecturer_REQ_0000062999-3,Part Time - IST/Cybersecurity - Adjunct Lecturer,Lecturer,Part-time,,cybersecurity,,2025-03-07
1227,https://psu.wd1.myworkdayjobs.com/job/Penn-State-York/Adjunct-Lecturer-in-Information-Technology_REQ_0000055574-1,Part Time - Information Technology - Adjunct Lecturer,Lecturer,Part-time,,Cybersecurity,,2024-11-11
1227,https://psu.wd1.myworkdayjobs.com/job/Penn-State-York/Adjunct-Lecturer-in-Psychology_REQ_0000056126-1,Adjunct Lecturer in Psychology,Lecturer,Part-time,,Psychology,,2024-05-17
1227,https://psu.wd1.myworkdayjobs.com/job/Penn-State-York/Adjunct-Lecturer-in-Physics_REQ_0000054383-2,Adjunct Lecturer in Physics,Lecturer,Part-time,,Physics,,2024-03-25
