school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1474,https://www.vmi.edu/job-openings/,Job Openings,Assistant_Professor; Associate_Professor,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Assistant,,
1474,https://www.vmi.edu/job-categories/alumni-agencies/,Job Openings: Alumni Agencies,Unclassified,Part-time,"faculty for research, instructional, developmental, or service projects",,,
1474,https://www.vmi.edu/job-categories/contract-positions/,Job Openings: Contract Positions,Unclassified,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Parkhurst Dining Team Members,,
1474,https://www.vmi.edu/job-categories/hourly/,Job Openings: Hourly,Non-academic,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Lab Technician- Psychology Department,,
1474,https://www.vmi.edu/job-categories/staff/,Job Openings: Staff,Non-academic,Full-time,"faculty for research, instructional, developmental, or service projects",,,
1474,https://www.vmi.edu/job-categories/teaching-faculty/,Job Openings: Teaching Faculty,Assistant_Professor; Associate_Professor,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Categories All Alumni Agencies,,
1474,https://www.vmi.edu/job-openings/assistant-or-associate-professor-of-mechanical-engineering-tenure-track-3/,Assistant or Associate Professor of Mechanical Engineering (tenure-track),Assistant_Professor; Associate_Professor,Full-time,"faculty for research, instructional, developmental, or service projects",Mechanical Engineering,,
1474,https://www.vmi.edu/job-openings/custodial-supervisor/,Custodial Supervisor,Unclassified,Full-time,"faculty for research, instructional, developmental, or service projects",,"September 2, 2026",
1474,https://www.vmi.edu/job-openings/assistant-associate-professor-in-psychology-leadership/,Assistant/Associate Professor in Psychology/Leadership,Assistant_Professor; Associate_Professor,Full-time,"faculty for research, instructional, developmental, or service projects",Psychology/Leadership; Faculty Department Psychology Share Tenure-Track,"July 1, 2026",
1474,https://www.vmi.edu/job-openings/administrative-assistant-iii/,Administrative Assistant III,Unclassified,Full-time,"faculty for research, instructional, developmental, or service projects",,"August 31, 2026",
1474,https://www.vmi.edu/job-openings/assistant-professor-of-arabic-tenure-track/,Assistant Professor of Arabic- Tenure Track,Assistant_Professor,Full-time,"faculty for research, instructional, developmental, or service projects",Arabic- Tenure Track; Faculty Share Apply,,
1474,https://www.vmi.edu/job-openings/barracks-help-desk-it/,Barracks Help Desk- IT,Unclassified,Full-time,"faculty for research, instructional, developmental, or service projects",,"August 26, 2026",
1474,https://www.vmi.edu/job-openings/assistant-lacrosse-coach/,Assistant Lacrosse Coach,Unclassified,Full-time,"faculty for research, instructional, developmental, or service projects",,"August 26, 2026",
1474,https://www.vmi.edu/job-openings/police-1st-sgt/,Police 1st SGT,Unclassified,Full-time,"faculty for research, instructional, developmental, or service projects",,"August 19, 2026",
1474,https://www.vmi.edu/job-openings/accounts-payable-specialist/,Accounts Payable Specialist,Non-academic,Full-time,"faculty for research, instructional, developmental, or service projects",,"August 18, 2026",
1474,https://www.vmi.edu/job-openings/vmi-alumni-agencies-stewardship-administrative-assistant-part-time/,VMI Alumni Agencies Stewardship Administrative Assistant (Part-Time),Unclassified,Part-time,"faculty for research, instructional, developmental, or service projects",,,
1474,https://www.vmi.edu/job-openings/page/2/,Job Openings,Assistant_Professor,Full-time,"faculty for research, instructional, developmental, or service projects",Faculty Registered Nurse,,
1474,https://www.vmi.edu/job-openings/page/3/,Job Openings,Non-academic,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Administrative Assistant Part-Time- Preston,,
1474,https://www.vmi.edu/job-openings/page/5/,Job Openings,Unclassified,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Parkhurst Dining Team Members,,
1474,https://www.vmi.edu/jobs,Job Openings,Assistant_Professor; Associate_Professor,Part-time,"faculty for research, instructional, developmental, or service projects",Faculty Assistant,,
1474,http://www.vmi.edu/vmi-holds-job-fair/,VMI Holds Job Fair,Non-academic,Full-time,"faculty for research, instructional, developmental, or service projects",,"July 12, 2023",
