school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Founding-Program-Director--Engineering_R-096845,"Founding Program Director, Engineering",Unclassified,Full-time,Division of Enrollment Management,M-Victoria engineering programs,"September 15, 2026",2026-09-04
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Founding-Program-Director--Aviation_R-096759-2,"Founding Program Director, Aviation",Unclassified,Full-time,Division of Enrollment Management to develop recruiting material,,"September 15, 2026",2026-09-03
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Tenure-Track-Faculty---Special-Education--ABA-_R-096742-2,Tenure-Track Faculty - Special Education (ABA),Unclassified,Full-time,,,"September 17, 2026",2026-09-03
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Founding-Program-Director--Bachelor-of-Business-Administration---Agribusiness_R-096816,"Founding Program Director, Bachelor of Business Administration - Agribusiness",Unclassified,Full-time,,Business Administration,"September 15, 2026",2026-09-03
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Exec-Admin-Asst-to-VP-Enrl-Mgm_R-096644,Exec Admin Asst to VP Enrl Mgm,Unclassified,Full-time,,,,2026-09-03
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Assistant-Director--Human-Resources_R-096782,"Assistant Director, Human Resources",Unclassified,Full-time,,,,2026-09-02
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Director--Career-Development-Center_R-096729,"Director, Career Development Center",Unclassified,Full-time,,,"September 15, 2026",2026-09-02
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Dir-International-Programs_R-096608,"Dir,International Programs",Unclassified,Full-time,,,,2026-08-27
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Assistant-Director-of-Environmental-Health---Safety_R-096475,Assistant Director of Environmental Health & Safety,Unclassified,Full-time,,Environmental Health & Safety,,2026-08-24
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Director--Fire-and-Life-Safety_R-096474,"Director, Fire and Life Safety",Non-academic,Full-time,,,,2026-08-24
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Budget-Specialist-I_R-096434,Budget Specialist I,Non-academic,Full-time,,,,2026-08-21
1438,https://tamus.wd1.myworkdayjobs.com/TAMUV_External/job/Victoria-TAMUV/Sr-Dir--Res-Life---Judicial-Af_R-096071,"Sr Dir, Res Life & Judicial Aff",Unclassified,Full-time,,,,2026-08-11
