school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
954,https://www.newpaltz.edu/hr/displayjobs.php,Vacancies,Non-academic,Full-time,,,,
954,https://www.newpaltz.edu/hr/employment-opportunities/employment-opportunities/,Employment Opportunities,Lecturer,Part-time,,,,
954,https://www.newpaltz.edu/hr/employment-opportunities/live--work-with-us/,Live & Work With Us,Unclassified,Full-time,,,,
954,https://www.newpaltz.edu/hr/employment-opportunities/more-about-suny-new-paltz/,More About SUNY New Paltz,Unclassified,Full-time,,,,
954,https://www.newpaltz.edu/hr/employment-opportunities/meet-the-leadership/,Meet The Leadership,Unclassified,Full-time,,,,
954,https://www.newpaltz.edu/hr/employment-opportunities/institutional-profile/,Institutional Profile,Unclassified,Full-time,,,,
954,https://www.newpaltz.edu/hr/employment-opportunities/benefits-information-for-prospective-hires/,Benefits Information for Prospective Hires,Unclassified,Part-time,,,,
