school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1103,https://utulsa.edu/about/leadership/faculty/,Bulletins,Assistant_Professor; Associate_Professor,Full-time,,,,
1103,https://utulsa.edu/about/leadership/,Bulletins,Assistant_Professor; Associate_Professor,Full-time,,,,
1103,https://utulsa.edu/student-life/canecareers/,Bulletins,Assistant_Professor; Associate_Professor,Full-time,,,,
1103,https://utulsa.edu/tuition-aid/graduate-financial-assistance/assistantships-fellowships/,Bulletins,Assistant_Professor; Associate_Professor,Full-time,Center for Student Academic Support and be registered to receive those services,,,
1103,https://utulsa.edu/news/cultivating-cultural-conversations-meet-utulsas-professor-lansana/,Cultivating cultural conversations: Meet UTulsa’s Professor Lansana,Full_Professor,Full-time,School of the Art Institute of Chicago and the drama division of The Juilliard School,Cultivating cultural conversations; history of the Greenwood District,,
1103,https://utulsa.edu/news/new-alumnus-offered-elite-ibm-position/,New alumnus offered elite IBM cybersecurity position months before graduation,Assistant_Professor; Associate_Professor,Full-time,School of Cyber Studies,,,
