school_id,name,old_url,new_url,evidence,verdict
100,California State University-Los Angeles,https://csucareers.calstate.edu/en-us/filter/?=&leftNavSearchFormQuery=&=&search=&search-keyword=&job-mail-subscribe-privacy=agree&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&location=los%20angeles&job-mail-subscribe-privacy=agree,,,not-found
1222,Waynesburg University,http://www.facebook.com/share.php?u=https://www.waynesburg.edu/careers&title=Careers,https://www.waynesburg.edu/careers,links=7 sections=14 via static,found
1238,University of Puerto Rico-Bayamon,https://www.upr.edu/ac/oficinas-adscritas/recursos-humanos/oficina-de-recursos-humanos-convocatorias/,,,not-found
1243,University of Puerto Rico at Cayey,https://www.cayey.upr.edu/oficina-de-recursos-humanos/,https://www.cayey.upr.edu/oficina-de-recursos-humanos/,links=37 sections=0 via browser,found
1249,University of Puerto Rico-Humacao,https://www.uprh.edu/empleos/,,,not-found
215,Goldey-Beacom College,https://www.paycomonline.net/v4/ats/web.php/portal/019DF7F6E271614BAB2785B88C6A379F/career-page,https://www.gbc.edu/career/,links=6 sections=1 via static,found
251,St. Thomas University,https://www.stu.edu/jobs,,,not-found
293,Piedmont University,https://www.piedmont.edu/employment/,,,not-found
303,Wesleyan College,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=acafb953-757f-4fc8-b0ee-c3d3b317c413&ccId=19000101_000001&lang=en_US,,,not-found
382,University of Chicago,https://voices.uchicago.edu/interfolio/academic-jobs/,,,not-found
427,Goshen College,https://www.goshen.edu/employment/director-of-human-resources/,https://www.goshen.edu/employment/,links=8 sections=0 via static,found
458,Benedictine College,https://recruiting.paylocity.com/recruiting/jobs/Details/3764624/Benedictine-College/AssistantAssociate-Professor-of-Psychology,https://www.benedictine.edu/jobs,links=22 sections=0 via static,found
499,Midway University,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=0360F3B5A2EC741788B51C99C6E17513&jpt=,,,not-found
515,McNeese State University,https://www.mcneese.edu/financial-aid/gainful-employment-disclosure-information/,,,not-found
531,Hampshire College,https://www.hampshire.edu/offices/human-resources/employment-opportunities,,,not-found
62,Arizona State University Digital Immersion,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,,,not-found
63,Arizona State University Campus Immersion,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,,,not-found
656,Baker College,https://www.baker.edu/about/get-to-know-us/careers/,,,not-found
662,Walsh College,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=8B50A1FFE490890FFF138330679CB02A&fromClientSide=true,,,not-found
864,Centenary University,https://www.instagram.com/p/DcMh4Y-oP_M/,,,not-found
869,Georgian Court University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0674ba22-8f97-458a-80c0-91217826b19b&ccId=9151465763873_19553&lang=en_US,,,not-found
873,Fairleigh Dickinson University-Florham Campus,https://www.instagram.com/reel/Db53N_YDMHp/,,,not-found
884,Fairleigh Dickinson University-Metropolitan Campus,https://www.instagram.com/reel/Db53N_YDMHp/,,,not-found
969,Metropolitan College of New York,https://www.paycomonline.net/v4/ats/web.php/portal/0AFB6B93B59D609A2037FAB5547D9B02/career-page,,,not-found
98,California State University-Long Beach,https://csucareers.calstate.edu/en-us/filter/?=&leftNavSearchFormQuery=&=&search=&search-keyword=&job-mail-subscribe-privacy=agree&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&location=long%20beach&job-mail-subscribe-privacy=agree,,,not-found
