school_id,name,old_url,new_url,evidence,verdict
353,Briar Cliff University,https://Briarcliff.elluciancrmrecruit.com/Apply/Account/ProspectInquiry?f=9b05884a-c1c6-4c53-a445-22ac49ba3594&o=538fedc1-2f8d-4f30-89b1-d13415d0429c,https://www.briarcliff.edu/about/our-employees/careers,links=3 sections=0 via static,found
434,Marian University,https://marian.elluciancrmrecruit.com/Apply/Account/Create?f=a0ee650e-16a5-4b95-b901-c5b3f4d00dd4&o=a3e67df5-dead-4937-a82d-f42c212e56d1&IsInquiry=True,https://www.marian.edu/human-resources/index.php,links=5 sections=0 via static,found
487,Lindsey Wilson College,https://lindsey.elluciancrmrecruit.com/Apply/Account/Create,https://www.lindsey.edu/about-lwc/Offices-and-Services/Human-Resources/job-opportunities.cfm,links=2 sections=9 via static,found
659,Lake Superior State University,https://lssu.elluciancrmrecruit.com/Apply/Account/Create?f=74d097fd-e977-4014-8c74-57ea15a7d036&o=c32620df-99a6-4d73-825b-e072a3556b81&s=35d02c13-f240-e811-80d9-0a19abd13584&IsInquiry=True,https://jobs.lssu.edu/jobs/search,links=32 sections=1 via static,found
885,Thomas Edison State University,https://tesu.elluciancrmrecruit.com/Apply/Account/ProspectInquiry?f=a5c390e3-cba0-4376-b596-8fba5466af6e&o=8a362f72-262c-48bc-a36d-c5d6e0f75af6&s=c1a80143-768e-e311-a614-00155d01181f,https://www.tesu.edu/about/work-at-tesu/index.php,links=3 sections=0 via static,found
1229,Inter American University of Puerto Rico-Aguadilla,https://iaupr.elluciancrmrecruit.com/Apply/,http://www.inter.edu/about-us/empleos-3/,links=7 sections=0 via browser,found
1231,Inter American University of Puerto Rico-Arecibo,https://iaupr.elluciancrmrecruit.com/Apply/Account/Create,http://www.arecibo.inter.edu/department/recursos-humanos/,links=4 sections=0 via static,found
1234,Inter American University of Puerto Rico-Barranquitas,https://iaupr.elluciancrmrecruit.com/Apply,https://www.br.inter.edu/empleos/,links=7 sections=0 via static,found
1245,Inter American University of Puerto Rico-Guayama,https://iaupr.elluciancrmrecruit.com/Apply,https://www.inter.edu/conocenos/empleos-3/,links=19 sections=1 via browser,found
1258,Inter American University of Puerto Rico-San German,https://iaupr.elluciancrmrecruit.com/Apply,https://www.inter.edu/about-us/empleos-3/,links=19 sections=1 via browser,found
1260,Inter American University of Puerto Rico-Metro,https://iaupr.elluciancrmrecruit.com/Apply/Account/Create?returnUrl=%2FApply,https://metro.inter.edu/recursos-humanos/,links=8 sections=0 via browser,found
1570,University of Charleston,https://ucwv.elluciancrmrecruit.com/Apply/Account/Create?f=586ce4f3-d79d-4f52-9540-5138661f6dcd&o=538fedc1-2f8d-4f30-89b1-d13415d0429c&IsInquiry=True,https://www.ucwv.edu/job-postings/,links=14 sections=0 via static,found
