school_id,name,country,base_url,careers_link,ats_platform,confidence,notes,scraper_status
178,Colorado State University Pueblo,US,https://www.csupueblo.edu/,https://csusystem.wd12.myworkdayjobs.com/en-US/pueblo_careers?locations=c42207b011c11000e4a22ee1cf1e0000&jobFamilyGroup=c42207b011c11000d2dd549d70320000,Workday,high,OK-2hop:OK:8,adapter built
179,University of Bridgeport,US,https://www.bridgeport.edu/,https://www.paycomonline.net/v4/ats/web.php/portal/A1640D81A59AFDAFC5501F5B06EF1B08/career-page,own website,medium,OK-2hop:OK:3,generic scraper
180,Western Connecticut State University,US,https://www.wcsu.edu/,http://wcsu.edu/hr/employment/current-opportunities/,own website,medium,OK-2hop:OK:4,generic scraper
181,Fairfield University,US,https://fairfield.edu/,https://ffd.wd1.myworkdayjobs.com/EmploymentOpportunities?jobFamilyGroup=744fdc6270fe01eb4c7fbb71b6825329,Workday,high,OK-2hop:OK:8,adapter built
182,Sacred Heart University,US,https://www.sacredheart.edu/,https://jobs.dayforcehcm.com/shu/CANDIDATEPORTAL,own website,medium,OK-2hop:OK:5,generic scraper
183,University of Connecticut-Avery Point,US,https://averypoint.uconn.edu/,https://jobs.hr.uconn.edu/cw/en-us/filter/?search-keyword=&job-mail-subscribe-privacy=agree,own website,not_found,NO_MATCH [playwright],generic scraper
184,Quinnipiac University,US,https://www.qu.edu/,https://career.qu.edu/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&category=faculty,own website,medium,OK-2hop:OK:5,generic scraper
185,Trinity College,US,https://www.trincoll.edu/,https://trincore-ibvxjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,Oracle Cloud HCM,high,OK-2hop:OK:6,adapter built
186,Wesleyan University,US,https://www.wesleyan.edu/,https://wesleyan.wd5.myworkdayjobs.com/careers?jobFamilyGroup=2f94686d89e0100a36c029ae4aa50000,Workday,high,OK-2hop:OK:8,adapter built
187,Central Connecticut State University,US,https://www.ccsu.edu/,https://www.ccsu.edu/hr/administrative/faculty/management,own website,not_found,NO_MATCH [playwright],generic scraper
188,Charter Oak State College,US,https://www.charteroak.edu/,https://www.charteroak.edu/aboutus/employment.php,own website,medium,OK-2hop:OK:2,generic scraper
189,Albertus Magnus College,US,https://www.albertus.edu/,https://www.albertus.edu/employment/,own website,medium,OK-2hop:OK:2,generic scraper
190,Southern Connecticut State University,US,https://www.southernct.edu/,https://inside.southernct.edu/human-resources/jobs,own website,medium,OK-2hop:OK:5,generic scraper
191,Yale University,US,https://www.yale.edu/,https://academicpositions.yale.edu/,own website,medium,OK-2hop:OK:9,generic scraper
