school_id,post_link
35,https://ozarks.edu/academics/faculty-directory/
35,https://ozarks.edu/faculty-and-staff/
35,https://ozarks.edu/wp-content/uploads/AP-Health-Promotion-August-2026.pdf
35,https://ozarks.edu/wp-content/uploads/AP-Religion-August-2026.pdf
35,https://ozarks.edu/wp-content/uploads/Assistant-Mens-Basketball-Coach-Job-Advertisement-2026.pdf
35,https://ozarks.edu/news/u-of-o-art-faculty-to-present-exhibit/
35,https://ozarks.edu/news/duncan-joins-u-of-o-faculty/
35,https://ozarks.edu/news/job-placement-for-grads-surpasses-90-for-10th-consecutive-year/
35,https://ozarks.edu/news/2026-27-walton-series-lineup-announced/
35,https://ozarks.edu/news/wasson-finds-jlc-tutoring-rewarding/
35,https://ozarks.edu/news/kremers-24-through-the-lens-of-an-entrepreneur/
35,https://ozarks.edu/news/evans-finds-confidence-far-from-home/
35,https://ozarks.edu/news/university-to-host-native-american-rapper-dancer-supaman/
35,https://ozarks.edu/news/bruce-joins-ozarks-as-mental-health-therapist/
35,https://ozarks.edu/news/lecrone-gains-research-experience-in-uams-summer-program/
35,https://ozarks.edu/news/lilly-endowment-makes-500k-gift-to-support-town-square-collaborative/
35,https://ozarks.edu/news/u-of-o-enhances-student-experience-with-macbook-neo-initiative/
35,https://ozarks.edu/news/garcia-23-to-receive-young-alumni-service-award/
35,https://ozarks.edu/news/author-illustrator-to-discuss-new-book-on-arkansas-women-musicians/
35,https://ozarks.edu/news/dr-tiwari-is-co-editor-of-new-book-on-plant-microbe-interactions/
35,https://ozarks.edu/news/hardgrave-18-to-receive-2026-young-alumni-achievement-award/
