school_id,job_title,job_title_original,department,department_original,location,position_type,post_date,posting_url,source_tier,source_platform,language,scraped_at,description
1763,Research Fellow - Applied Health Sciences,Research Fellow - Applied Health Sciences,,,United Kingdom,,2026-08-16,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9792,1,oracle,en,2026-09-02T20:08:22Z,"We invite applications for a Research Fellow to work on a qualitative study exploring the pathways to diagnosis of breast cancer in black women in the UK.   The post holder will conduct literature review(s), arrange and conduct interviews with patients and analyse qualitative data.  The post holder will be responsible for arranging and conducting the interviews. The research will be conducted in Birmingham and London, and the Research Fellow will be expected to travel to these sites to conduct the interviews.

Posting closes: 2026-09-14"
1763,Assistant Professor in Anatomy (Education),Assistant Professor in Anatomy (Education),Department of Biomedical Sciences,Department of Biomedical Sciences,United Kingdom,Tenure-Track,2026-08-16,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9796,1,oracle,en,2026-09-02T20:08:22Z,"You will contribute to a range of teaching, scholarship and administration as we move into our exciting new facility, the Birmingham Centre for Anatomy, Surgical and Clinical Skills (BCASCS). In addition, you will be expected to demonstrate academic citizenship, developing and maintaining mutually respectful and supportive working relationships with all staff and students, while ensuring the way you carry out your role impacts positively on how others carry out theirs. 

Posting closes: 2026-09-07"
1763,Research Fellow,Research Fellow,Department of Immunology and Immunotherapy,Department of Immunology and Immunotherapy,United Kingdom,,2026-08-16,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9813,1,oracle,en,2026-09-02T20:08:22Z,"To plan, perform, analyse and interpret results pertaining to a Breakthrough T1D grant exploring how NAMPT inhibitors may alter immune responses in mice that develop spontaneous autoimmune diabetes.

Posting closes: 2026-09-07"
1763,Research Fellow,Research Fellow,"School of Sport, Exercise and Rehabilitation Sciences","School of Sport, Exercise and Rehabilitation Sciences",United Kingdom,,2026-08-13,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9791,1,oracle,en,2026-09-02T20:08:22Z,"To create and contribute to a funded research project by undertaking investigations of the neural mechanisms and therapeutic effects of a novel neuromodulation intervention in people living with spinal cord injury (SCI).

Posting closes: 2026-09-06"
1763,Teaching Fellow - 35749Z26,Teaching Fellow - 35749Z26,School of Psychology,School of Psychology,United Kingdom,Non-Tenure-Track,2026-08-13,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9800,1,oracle,en,2026-09-02T20:08:22Z,"To teach and advise undergraduate, postgraduate or CPD students within own subject area and within an established teaching programme, managed supervised by member of staff with ultimate responsibility for the design, delivery and assessment of the teaching programme.

Posting closes: 2026-09-06"
1763,Research Fellow,Research Fellow,School of Social Policy,School of Social Policy,United Kingdom,,2026-08-13,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9809,1,oracle,en,2026-09-02T20:08:22Z,"The successful applicant will be employed to work on the BEAMS trial which is a multicentre two-arm parallel randomised controlled trial with internal pilot that seeks to assess the clinical and cost-effectiveness of an adapted psychological therapy for people with moderate to severe intellectual disabilities who have anxiety disorders. 

Posting closes: 2026-09-06"
1763,Research Fellow,Research Fellow,School of Social Policy,School of Social Policy,United Kingdom,,2026-08-13,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9810,1,oracle,en,2026-09-02T20:08:22Z,"The post is situated in the Intellectual Disabilities Research Institute (IDRIS) in the School of Social Policy and Society. IDRIS is an applied cross-University research institute established in October 2024 with the appointment of Professor Richard Hastings as 125th Anniversary Chair and Professor of Psychology Health and Social Care. IDRIS also includes, in Social Policy and Society, three other professorial staff, an associate professor, two senior research fellows, a full-time administrator, and a number of research fellows, research associates, and PhD students. 

Posting closes: 2026-09-06"
1763,Research Fellow (Learning and Autonomous Skills & Human-AI Collaboration for Advanced Manufacturing Ecosystems),Research Fellow (Learning and Autonomous Skills & Human-AI Collaboration for Advanced Manufacturing Ecosystems),School of Computer Science,School of Computer Science,United Kingdom,,2026-08-12,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9784,1,oracle,en,2026-09-02T20:08:22Z,"We are seeking a highly motivated researcher with strong technical background in robotics, machine learning and computer vision. The successful candidate will actively participate in the Co-AIMS mission to drive impactful research in the context of research priority area of Adaptive Skill Learning and Human-AI Collaboration for Advanced Manufacturing ​Ecosystems

Posting closes: 2026-09-03"
1763,Research Fellow in Nanohertz Gravitational Waves,Research Fellow in Nanohertz Gravitational Waves,School of Physics and Astronomy,School of Physics and Astronomy,United Kingdom,,2026-08-10,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9766,1,oracle,en,2026-09-02T20:08:22Z,"We are seeking to appoint a postdoctoral researcher to work on developing analysis approaches for low frequency observations of gravitational waves to improving our understanding of the formation and evolution of supermassive black holes. The applicant will join the Institute for Gravitational Wave Astronomy at the University of Birmingham, United Kingdom – one of the globally leading institutes in gravitational wave-research. The successful applicant should have a background in data analysis techniques and in astrophysics of massive black hole binaries. 

Posting closes: 2026-09-30"
1763,Research Fellow (Postdoctoral),Research Fellow (Postdoctoral),School of Biosciences,School of Biosciences,United Kingdom,Postdoctoral,2026-08-10,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9765,1,oracle,en,2026-09-02T20:08:22Z,"This position forms part of the Wellcome Trust Discovery Award programme “Decoding Competition in the Brain”. The programme is driven by recent advances revealing how neuromodulatory circuits dynamically reshape decision-making under conflict (Cazalé-Debat, Scheunemann et al., Nature 2024; Day & Rezaval, Curr. Opin. Neurobiol. 2026),  and how competitive pressure reconfigures behavioural priorities (unpublished work). Using Drosophila melanogaster, we combine quantitative behavioural paradigms with neural circuit mapping, advanced genetics, two-photon functional imaging, and molecular approaches to uncover fundamental principles governing behavioural choice.

Posting closes: 2026-09-15"
1763,Research Fellow (Group Leader) in Computational Materials,Research Fellow (Group Leader) in Computational Materials,School of Chemistry,School of Chemistry,United Kingdom,,2026-08-04,https://edzz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/9700,1,oracle,en,2026-09-02T20:08:22Z,"To create and disseminate knowledge through initiating and conducting original research and through publication, as appropriate to the disciplinary area. 

Posting closes: 2026-09-02"
